[INFO 2:37:01 PM] miguelsolorio.symbols activated
[INFO 2:37:01 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 2:37:01 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:37:01 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:37:01 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 2:37:02 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 2:37:02 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:37:02 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:37:02 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 2:37:02 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 2:37:02 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:37:02 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:37:02 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 2:37:03 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 2:37:03 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:37:03 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:37:03 PM] 🤖 symbols.files.associations changed, updating to undefined
