[INFO 3:53:41 PM] miguelsolorio.symbols activated
[INFO 3:53:41 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:53:41 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:41 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:53:41 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:53:43 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:53:43 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:43 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:53:43 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:53:43 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:53:43 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:43 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:53:43 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:53:44 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:53:44 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:44 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:53:44 PM] 🤖 symbols.files.associations changed, updating to undefined
